Gene	Name/Alias	HGNC ID	Location	Metabolic pathway	Reference
GLUD1	glutamate dehydrogenase 1	HGNC:4335	10q23.2	"Alanine; aspartate and glutamate metabolism"	
GRID1	glutamate ionotropic receptor delta type subunit 1	HGNC:4575	10q23.1-q23.2	"Alanine; aspartate and glutamate metabolism"	
GLUD2	glutamate dehydrogenase 2	HGNC:4336	Xq24	"Alanine; aspartate and glutamate metabolism"	
GRID2	glutamate ionotropic receptor delta type subunit 2	HGNC:4576	4q22.1-q22.2	"Alanine; aspartate and glutamate metabolism"	
GLUL	glutamate-ammonia ligase	HGNC:4341	1q25.3	"Alanine; aspartate and glutamate metabolism"	
GOT1	glutamic-oxaloacetic transaminase 1	HGNC:4432	10q24.2	"Alanine; aspartate and glutamate metabolism"	
GOLT1A	golgi transport 1A	HGNC:24766	1q32.1	"Alanine; aspartate and glutamate metabolism"	
GOLT1B	golgi transport 1B	HGNC:20175	12p12.1	"Alanine; aspartate and glutamate metabolism"	
GOT1L1	glutamic-oxaloacetic transaminase 1 like 1	HGNC:28487	8p11.23	"Alanine; aspartate and glutamate metabolism"	
GOT2	glutamic-oxaloacetic transaminase 2	HGNC:4433	16q21	"Alanine; aspartate and glutamate metabolism"	
GPT	glutamic--pyruvic transaminase	HGNC:4552	8q24.3	"Alanine; aspartate and glutamate metabolism"	
DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1	HGNC:2995	11q23.3	"Alanine; aspartate and glutamate metabolism"	
GPT2	glutamic--pyruvic transaminase 2	HGNC:18062	16q11.2	"Alanine; aspartate and glutamate metabolism"	
GSR	glutathione-disulfide reductase	HGNC:4623	8p12	"Alanine; aspartate and glutamate metabolism"	
KIAA0319	KIAA0319	HGNC:21580	6p22.3	"Alanine; aspartate and glutamate metabolism"	
KYAT1	kynurenine aminotransferase 1	HGNC:1564	9q34.11	"Alanine; aspartate and glutamate metabolism"	
KYAT3	kynurenine aminotransferase 3	HGNC:33238	1p22.2	"Alanine; aspartate and glutamate metabolism"	
LDHA	lactate dehydrogenase A	HGNC:6535	11p15.1	"Alanine; aspartate and glutamate metabolism"	
LGSN	lengsin, lens protein with glutamine synthetase domain	HGNC:21016	6q12	"Alanine; aspartate and glutamate metabolism"	
NAGS	N-acetylglutamate synthase	HGNC:17996	17q21.31	"Alanine; aspartate and glutamate metabolism"	
NAT8L	N-acetyltransferase 8 like	HGNC:26742	4p16.3	"Alanine; aspartate and glutamate metabolism"	
NIT2	nitrilase family member 2	HGNC:29878	3q12.2	"Alanine; aspartate and glutamate metabolism"	
PLPBP	pyridoxal phosphate binding protein	HGNC:9457	8p11.23	"Alanine; aspartate and glutamate metabolism"	
TAT	tyrosine aminotransferase	HGNC:11573	16q22.2	"Alanine; aspartate and glutamate metabolism"	
AMDHD2	amidohydrolase domain containing 2	HGNC:24262	16p13.3	Amino sugar and nucleotide sugar metabolism	
CEMP1	cementum protein 1	HGNC:32553	16p13.3	Amino sugar and nucleotide sugar metabolism	
CHI3L1	chitinase 3 like 1	HGNC:1932	1q32.1	Amino sugar and nucleotide sugar metabolism	
CHIA	chitinase acidic	HGNC:17432	1p13.2	Amino sugar and nucleotide sugar metabolism	
CHIT1	chitinase 1	HGNC:1936	1q32.1	Amino sugar and nucleotide sugar metabolism	
CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	HGNC:18290	12p12.1	Amino sugar and nucleotide sugar metabolism	
GALE	UDP-galactose-4-epimerase	HGNC:4116	1p36.11	Amino sugar and nucleotide sugar metabolism	
GCK	glucokinase	HGNC:4195	7p13	Amino sugar and nucleotide sugar metabolism	
MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	HGNC:6864	11q13.1	Amino sugar and nucleotide sugar metabolism	
GFPT1	glutamine--fructose-6-phosphate transaminase 1	HGNC:4241	2p13.3	Amino sugar and nucleotide sugar metabolism	
GFPT2	glutamine-fructose-6-phosphate transaminase 2	HGNC:4242	5q35.3	Amino sugar and nucleotide sugar metabolism	
GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	HGNC:23657	9p13.3	Amino sugar and nucleotide sugar metabolism	
GNPDA1	glucosamine-6-phosphate deaminase 1	HGNC:4417	5q31.3	Amino sugar and nucleotide sugar metabolism	
GNPDA2	glucosamine-6-phosphate deaminase 2	HGNC:21526	4p12	Amino sugar and nucleotide sugar metabolism	
GNPNAT1	glucosamine-phosphate N-acetyltransferase 1	HGNC:19980	14q22.1	Amino sugar and nucleotide sugar metabolism	
HEXA	hexosaminidase subunit alpha	HGNC:4878	15q23	Amino sugar and nucleotide sugar metabolism	
HEXB	hexosaminidase subunit beta	HGNC:4879	5q13.3	Amino sugar and nucleotide sugar metabolism	
HEXD	hexosaminidase D	HGNC:26307	17q25.3	Amino sugar and nucleotide sugar metabolism	
HK1	hexokinase 1	HGNC:4922	10q22.1	Amino sugar and nucleotide sugar metabolism	
KCNA4	potassium voltage-gated channel subfamily A member 4	HGNC:6222	11p14.1	Amino sugar and nucleotide sugar metabolism	
HOOK1	hook microtubule tethering protein 1	HGNC:19884	1p32.1	Amino sugar and nucleotide sugar metabolism	
HK2	hexokinase 2	HGNC:4923	2p12	Amino sugar and nucleotide sugar metabolism	
KCNA5	potassium voltage-gated channel subfamily A member 5	HGNC:6224	12p13.32	Amino sugar and nucleotide sugar metabolism	
KIF2A	kinesin family member 2A	HGNC:6318	5q12.1	Amino sugar and nucleotide sugar metabolism	
HOOK2	hook microtubule tethering protein 2	HGNC:19885	19p13.13	Amino sugar and nucleotide sugar metabolism	
HK3	hexokinase 3	HGNC:4925	5q35.2	Amino sugar and nucleotide sugar metabolism	
HOOK3	hook microtubule tethering protein 3	HGNC:23576	8p11.21	Amino sugar and nucleotide sugar metabolism	
HKDC1	hexokinase domain containing 1	HGNC:23302	10q22.1	Amino sugar and nucleotide sugar metabolism	
MANSC1	MANSC domain containing 1	HGNC:25505	12p13.2	Amino sugar and nucleotide sugar metabolism	
NAGK	N-acetylglucosamine kinase	HGNC:17174	2p13.3	Amino sugar and nucleotide sugar metabolism	
NANP	N-acetylneuraminic acid phosphatase	HGNC:16140	20p11.21	Amino sugar and nucleotide sugar metabolism	
NANS	N-acetylneuraminate synthase	HGNC:19237	9q22.33	Amino sugar and nucleotide sugar metabolism	
NPL	N-acetylneuraminate pyruvate lyase	HGNC:16781	1q25.3	Amino sugar and nucleotide sugar metabolism	
PGM3	phosphoglucomutase 3	HGNC:8907	6q14.1	Amino sugar and nucleotide sugar metabolism	
RENBP	renin binding protein	HGNC:9959	Xq28	Amino sugar and nucleotide sugar metabolism	
TGDS	TDP-glucose 4,6-dehydratase	HGNC:20324	13q32.1	Amino sugar and nucleotide sugar metabolism	
UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1	HGNC:12457	1q23.3	Amino sugar and nucleotide sugar metabolism	
UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1	HGNC:28082	9q34.3	Amino sugar and nucleotide sugar metabolism	
UXS1	UDP-glucuronate decarboxylase 1	HGNC:17729	2q12.2	Amino sugar and nucleotide sugar metabolism	
AARS1	alanyl-tRNA synthetase 1	HGNC:20	16q22.1	Aminoacyl-tRNA biosynthesis	
CARS1	cysteinyl-tRNA synthetase 1	HGNC:1493	11p15.4	Aminoacyl-tRNA biosynthesis	
DARS1	aspartyl-tRNA synthetase 1	HGNC:2678	2q21.3	Aminoacyl-tRNA biosynthesis	
EPRS1	glutamyl-prolyl-tRNA synthetase 1	HGNC:3418	1q41	Aminoacyl-tRNA biosynthesis	
FARSA	phenylalanyl-tRNA synthetase subunit alpha	HGNC:3592	19p13.13	Aminoacyl-tRNA biosynthesis	
FARSB	phenylalanyl-tRNA synthetase subunit beta	HGNC:17800	2q36.1	Aminoacyl-tRNA biosynthesis	
GARS1	glycyl-tRNA synthetase 1	HGNC:4162	7p14.3	Aminoacyl-tRNA biosynthesis	
HARS1	histidyl-tRNA synthetase 1	HGNC:4816	5q31.3	Aminoacyl-tRNA biosynthesis	
IARS1	isoleucyl-tRNA synthetase 1	HGNC:5330	9q22.31	Aminoacyl-tRNA biosynthesis	
KARS1	lysyl-tRNA synthetase 1	HGNC:6215	16q23.1	Aminoacyl-tRNA biosynthesis	
LARS1	leucyl-tRNA synthetase 1	HGNC:6512	5q32	Aminoacyl-tRNA biosynthesis	
MARS1	methionyl-tRNA synthetase 1	HGNC:6898	12q13.3	Aminoacyl-tRNA biosynthesis	
MTFMT	mitochondrial methionyl-tRNA formyltransferase	HGNC:29666	15q22.31	Aminoacyl-tRNA biosynthesis	
NARS1	asparaginyl-tRNA synthetase 1	HGNC:7643	18q21.31	Aminoacyl-tRNA biosynthesis	
EPRS1	glutamyl-prolyl-tRNA synthetase 1	HGNC:3418	1q41	Aminoacyl-tRNA biosynthesis	
QARS1	glutaminyl-tRNA synthetase 1	HGNC:9751	3p21.31	Aminoacyl-tRNA biosynthesis	
RARS1	arginyl-tRNA synthetase 1	HGNC:9870	5q34	Aminoacyl-tRNA biosynthesis	
SARS2	seryl-tRNA synthetase 2, mitochondrial	HGNC:17697	19q13.2	Aminoacyl-tRNA biosynthesis	
SARS1	seryl-tRNA synthetase 1	HGNC:10537	1p13.3	Aminoacyl-tRNA biosynthesis	
TARS1	threonyl-tRNA synthetase 1	HGNC:11572	5p13.3	Aminoacyl-tRNA biosynthesis	
VARS1	valyl-tRNA synthetase 1	HGNC:12651	6p21.33	Aminoacyl-tRNA biosynthesis	
WARS1	tryptophanyl-tRNA synthetase 1	HGNC:12729	14q32.2	Aminoacyl-tRNA biosynthesis	
YARS1	tyrosyl-tRNA synthetase 1	HGNC:12840	1p35.1	Aminoacyl-tRNA biosynthesis	
AKR1C1	aldo-keto reductase family 1 member C1	HGNC:384	10p15.1	Androgen metabolism	
AKR1C2	aldo-keto reductase family 1 member C2	HGNC:385	10p15.1	Androgen metabolism	
AKR1C3	aldo-keto reductase family 1 member C3	HGNC:386	10p15.1	Androgen metabolism	
AKR1C4	aldo-keto reductase family 1 member C4	HGNC:387	10p15.1	Androgen metabolism	
AKR1D1	aldo-keto reductase family 1 member D1	HGNC:388	7q33	Androgen metabolism	
BCO2	beta-carotene oxygenase 2	HGNC:18503	11q23.1	Androgen metabolism	
CYP17A1	cytochrome P450 family 17 subfamily A member 1	HGNC:2593	10q24.32	Androgen metabolism	
HSD17B1	hydroxysteroid 17-beta dehydrogenase 1	HGNC:5210	17q21.2	Androgen metabolism	
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	HGNC:22960	4q22.1	Androgen metabolism	
HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	HGNC:18646	11p11.2	Androgen metabolism	
HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	HGNC:5211	16q23.3	Androgen metabolism	
HSD17B3	hydroxysteroid 17-beta dehydrogenase 3	HGNC:5212	9q22.32	Androgen metabolism	
HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	HGNC:23316	12q13.3	Androgen metabolism	
HSD17B7	hydroxysteroid 17-beta dehydrogenase 7	HGNC:5215	1q23.3	Androgen metabolism	
HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2	HGNC:28120	10p11.1	Androgen metabolism	
HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	HGNC:3554	6p21.32	Androgen metabolism	
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	HGNC:5217	1p12	Androgen metabolism	
HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	HGNC:5218	1p12	Androgen metabolism	
SRD5A1	steroid 5 alpha-reductase 1	HGNC:11284	5p15.31	Androgen metabolism	
SRD5A2	steroid 5 alpha-reductase 2	HGNC:11285	2p23.1	Androgen metabolism	
SRD5A3	steroid 5 alpha-reductase 3	HGNC:25812	4q12	Androgen metabolism	
STS	steroid sulfatase	HGNC:11425	Xp22.31	Androgen metabolism	
SULT1E1	sulfotransferase family 1E member 1	HGNC:11377	4q13.3	Androgen metabolism	
SULT2B1	sulfotransferase family 2B member 1	HGNC:11459	19q13.33	Androgen metabolism	
AASDH	aminoadipate-semialdehyde dehydrogenase	HGNC:23993	4q12	Arachidonic acid metabolism	
ACAA1	acetyl-CoA acyltransferase 1	HGNC:82	3p22.2	Arachidonic acid metabolism	
ACAA2	acetyl-CoA acyltransferase 2	HGNC:83	18q21.1	Arachidonic acid metabolism	
ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3	Arachidonic acid metabolism	
ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3	Arachidonic acid metabolism	
ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.3	Arachidonic acid metabolism	
ACOT6	acyl-CoA thioesterase 6	HGNC:33159	14q24.3	Arachidonic acid metabolism	
ACOT7	acyl-CoA thioesterase 7	HGNC:24157	1p36.31	Arachidonic acid metabolism	
ACOT8	acyl-CoA thioesterase 8	HGNC:15919	20q13.12	Arachidonic acid metabolism	
ACOX1	acyl-CoA oxidase 1	HGNC:119	17q25.1	Arachidonic acid metabolism	
ACOX3	acyl-CoA oxidase 3, pristanoyl	HGNC:121	4p16.1	Arachidonic acid metabolism	
ACSF2	acyl-CoA synthetase family member 2	HGNC:26101	17q21.33	Arachidonic acid metabolism	
ACSF3	acyl-CoA synthetase family member 3	HGNC:27288	16q24.3	Arachidonic acid metabolism	
ALOX12	arachidonate 12-lipoxygenase, 12S type	HGNC:429	17p13.1	Arachidonic acid metabolism	
ALOX15	arachidonate 15-lipoxygenase	HGNC:433	17p13.2	Arachidonic acid metabolism	
ALOX15B	arachidonate 15-lipoxygenase type B	HGNC:434	17p13.1	Arachidonic acid metabolism	
ALOX5	arachidonate 5-lipoxygenase	HGNC:435	10q11.21	Arachidonic acid metabolism	
AMACR	alpha-methylacyl-CoA racemase	HGNC:451	5p13.2	Arachidonic acid metabolism	
BAAT	bile acid-CoA:amino acid N-acyltransferase	HGNC:932	9q31.1	Arachidonic acid metabolism	
CBR1	carbonyl reductase 1	HGNC:1548	21q22.12	Arachidonic acid metabolism	
CBR3	carbonyl reductase 3	HGNC:1549	21q22.12	Arachidonic acid metabolism	
CYP19A1	cytochrome P450 family 19 subfamily A member 1	HGNC:2594	15q21.2	Arachidonic acid metabolism	
CYP1A1	cytochrome P450 family 1 subfamily A member 1	HGNC:2595	15q24.1	Arachidonic acid metabolism	
CYP1A2	cytochrome P450 family 1 subfamily A member 2	HGNC:2596	15q24.1	Arachidonic acid metabolism	
CYP1B1	cytochrome P450 family 1 subfamily B member 1	HGNC:2597	2p22.2	Arachidonic acid metabolism	
CYP2A13	cytochrome P450 family 2 subfamily A member 13	HGNC:2608	19q13.2	Arachidonic acid metabolism	
CYP2A6	cytochrome P450 family 2 subfamily A member 6	HGNC:2610	19q13.2	Arachidonic acid metabolism	
CYP2A7	cytochrome P450 family 2 subfamily A member 7	HGNC:2611	19q13.2	Arachidonic acid metabolism	
CYP2B6	cytochrome P450 family 2 subfamily B member 6	HGNC:2615	19q13.2	Arachidonic acid metabolism	
CYP2C18	cytochrome P450 family 2 subfamily C member 18	HGNC:2620	10q23.33	Arachidonic acid metabolism	
CYP2C19	cytochrome P450 family 2 subfamily C member 19	HGNC:2621	10q23.33	Arachidonic acid metabolism	
CYP2C8	cytochrome P450 family 2 subfamily C member 8	HGNC:2622	10q23.33	Arachidonic acid metabolism	
CYP2C9	cytochrome P450 family 2 subfamily C member 9	HGNC:2623	10q23.33	Arachidonic acid metabolism	
CYP2D6	cytochrome P450 family 2 subfamily D member 6	HGNC:2625	22q13.2	Arachidonic acid metabolism	
CYP2E1	cytochrome P450 family 2 subfamily E member 1	HGNC:2631	10q26.3	Arachidonic acid metabolism	
CYP2F1	cytochrome P450 family 2 subfamily F member 1	HGNC:2632	19q13.2	Arachidonic acid metabolism	
CYP2J2	cytochrome P450 family 2 subfamily J member 2	HGNC:2634	1p32.1	Arachidonic acid metabolism	
CYP2S1	cytochrome P450 family 2 subfamily S member 1	HGNC:15654	19q13.2	Arachidonic acid metabolism	
CYP2U1	cytochrome P450 family 2 subfamily U member 1	HGNC:20582	4q25	Arachidonic acid metabolism	
CYP3A4	cytochrome P450 family 3 subfamily A member 4	HGNC:2637	7q22.1	Arachidonic acid metabolism	
CYP3A43	cytochrome P450 family 3 subfamily A member 43	HGNC:17450	7q22.1	Arachidonic acid metabolism	
CYP3A5	cytochrome P450 family 3 subfamily A member 5	HGNC:2638	7q22.1	Arachidonic acid metabolism	
CYP3A7	cytochrome P450 family 3 subfamily A member 7	HGNC:2640	7q22.1	Arachidonic acid metabolism	
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	HGNC:51504	7q22.1	Arachidonic acid metabolism	
CYP4A11	cytochrome P450 family 4 subfamily A member 11	HGNC:2642	1p33	Arachidonic acid metabolism	
CYP4A22	cytochrome P450 family 4 subfamily A member 22	HGNC:20575	1p33	Arachidonic acid metabolism	
CYP4B1	cytochrome P450 family 4 subfamily B member 1	HGNC:2644	1p33	Arachidonic acid metabolism	
CYP4F11	cytochrome P450 family 4 subfamily F member 11	HGNC:13265	19p13.12	Arachidonic acid metabolism	
CYP4F12	cytochrome P450 family 4 subfamily F member 12	HGNC:18857	19p13.12	Arachidonic acid metabolism	
CYP4F2	cytochrome P450 family 4 subfamily F member 2	HGNC:2645	19p13.12	Arachidonic acid metabolism	
CYP4F22	cytochrome P450 family 4 subfamily F member 22	HGNC:26820	19p13.12	Arachidonic acid metabolism	
CYP4F3	cytochrome P450 family 4 subfamily F member 3	HGNC:2646	19p13.12	Arachidonic acid metabolism	
CYP4F8	cytochrome P450 family 4 subfamily F member 8	HGNC:2648	19p13.12	Arachidonic acid metabolism	
CYP4X1	cytochrome P450 family 4 subfamily X member 1	HGNC:20244	1p33	Arachidonic acid metabolism	
CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	HGNC:20583	1p33	Arachidonic acid metabolism	
DHRS4	dehydrogenase/reductase 4	HGNC:16985	14q11.2	Arachidonic acid metabolism	
ECHS1	enoyl-CoA hydratase, short chain 1	HGNC:3151	10q26.3	Arachidonic acid metabolism	
EGFL8	EGF like domain multiple 8	HGNC:13944	6p21.32	Arachidonic acid metabolism	
EPHX1	epoxide hydrolase 1	HGNC:3401	1q42.12	Arachidonic acid metabolism	
EPHX2	epoxide hydrolase 2	HGNC:3402	8p21.2-p21.1	Arachidonic acid metabolism	
FA2H	fatty acid 2-hydroxylase	HGNC:21197	16q23.1	Arachidonic acid metabolism	
FAAH	fatty acid amide hydrolase	HGNC:3553	1p33	Arachidonic acid metabolism	
GPX1	glutathione peroxidase 1	HGNC:4553	3p21.31	Arachidonic acid metabolism	
GPX2	glutathione peroxidase 2	HGNC:4554	14q23.3	Arachidonic acid metabolism	
GPX3	glutathione peroxidase 3	HGNC:4555	5q33.1	Arachidonic acid metabolism	
GPX4	glutathione peroxidase 4	HGNC:4556	19p13.3	Arachidonic acid metabolism	
GPX5	glutathione peroxidase 5	HGNC:4557	6p22.1	Arachidonic acid metabolism	
GPX6	glutathione peroxidase 6	HGNC:4558	6p22.1	Arachidonic acid metabolism	
GPX7	glutathione peroxidase 7	HGNC:4559	1p32.3	Arachidonic acid metabolism	
GPX7	glutathione peroxidase 7	HGNC:4559	1p32.3	Arachidonic acid metabolism	
GPX8	glutathione peroxidase 8 (putative)	HGNC:33100	5q11.2	Arachidonic acid metabolism	
GSTA1	glutathione S-transferase alpha 1	HGNC:4626	6p12.2	Arachidonic acid metabolism	
GSTA2	glutathione S-transferase alpha 2	HGNC:4627	6p12.2	Arachidonic acid metabolism	
GSTA3	glutathione S-transferase alpha 3	HGNC:4628	6p12.2	Arachidonic acid metabolism	
GSTA4	glutathione S-transferase alpha 4	HGNC:4629	6p12.2	Arachidonic acid metabolism	
GSTA5	glutathione S-transferase alpha 5	HGNC:19662	6p12.2	Arachidonic acid metabolism	
GSTK1	glutathione S-transferase kappa 1	HGNC:16906	7q34	Arachidonic acid metabolism	
GSTM1	glutathione S-transferase mu 1	HGNC:4632	1p13.3	Arachidonic acid metabolism	
GSTM2	glutathione S-transferase mu 2	HGNC:4634	1p13.3	Arachidonic acid metabolism	
GSTM3	glutathione S-transferase mu 3	HGNC:4635	1p13.3	Arachidonic acid metabolism	
GSTM4	glutathione S-transferase mu 4	HGNC:4636	1p13.3	Arachidonic acid metabolism	
GSTM5	glutathione S-transferase mu 5	HGNC:4637	1p13.3	Arachidonic acid metabolism	
GSTO1	glutathione S-transferase omega 1	HGNC:13312	10q25.1	Arachidonic acid metabolism	
GSTO2	glutathione S-transferase omega 2	HGNC:23064	10q25.1	Arachidonic acid metabolism	
